16,4,4,1,3,0,3,2,3,1,2,2,6,14
17,1,1,1,2,0,5,3,3,1,1,3,4,6
17,3,3,1,1,0,4,4,3,1,3,5,4,11
15,3,4,1,2,0,5,3,2,1,1,1,0,11
16,3,3,1,1,0,4,3,2,3,4,5,8,10
19,1,1,3,1,1,4,4,4,3,3,5,4,8
17,4,4,1,2,0,4,5,5,1,3,2,14,9
18,2,3,2,1,0,5,2,3,1,2,4,0,10
17,2,2,2,2,0,4,5,2,1,1,1,4,11
16,2,4,2,2,0,4,2,2,1,2,5,2,13
18,3,2,2,2,0,4,1,1,1,1,5,75,9
17,3,4,1,3,0,4,4,5,1,3,5,16,15
18,4,4,1,1,0,1,4,2,2,2,1,5,16
18,2,3,1,3,0,4,3,3,1,2,3,4,10
15,2,2,2,2,0,5,3,3,1,3,4,4,15
16,1,1,1,1,0,3,4,4,3,3,1,2,13
15,4,4,4,4,0,1,3,5,3,5,1,6,13
15,1,1,2,4,1,3,1,2,1,1,1,2,10
17,1,1,4,2,3,5,3,5,1,5,5,0,7
15,4,3,1,2,0,4,4,1,1,1,1,0,15
19,2,1,3,2,0,3,4,1,1,1,2,20,13
17,2,1,2,3,0,3,2,3,1,2,3,10,12
19,3,3,1,2,2,4,3,5,3,3,5,15,9
16,0,2,1,1,0,4,3,2,2,4,5,0,15
15,3,3,1,4,0,4,3,3,1,1,4,10,11
15,1,1,1,2,0,4,4,2,1,2,5,0,11
18,4,4,3,2,0,3,2,2,4,2,5,10,11
17,1,1,1,2,0,5,3,3,1,1,3,0,9
18,1,1,3,1,3,5,2,5,1,5,4,6,10
18,4,2,2,1,1,5,4,3,4,3,3,14,5
18,2,2,1,2,0,4,3,3,1,1,2,0,0
15,3,4,4,2,0,5,3,3,1,1,5,0,0
17,4,4,2,3,0,4,3,3,1,2,4,4,14
16,2,2,2,2,1,4,4,2,1,1,3,12,10
15,2,3,1,1,0,3,2,2,1,3,3,2,12
18,3,4,2,2,0,4,2,5,3,4,1,13,17
16,3,1,1,1,0,5,3,2,2,2,5,2,14
17,3,3,1,2,0,5,3,3,2,3,1,56,8
17,2,2,1,1,0,3,4,4,1,3,5,12,12
15,4,4,2,2,2,4,4,4,2,3,5,6,8
16,4,4,1,1,0,5,3,4,1,2,1,6,14
15,2,2,1,4,0,4,3,4,1,1,4,6,14
17,4,4,1,2,0,2,3,4,1,1,1,0,15
19,1,2,1,2,1,4,5,2,2,2,4,3,11
15,4,3,1,2,0,4,5,2,1,1,5,0,16
17,2,4,2,2,0,4,3,3,1,1,1,2,10
16,2,2,1,2,0,5,4,4,1,1,5,0,8
16,2,2,2,2,0,3,4,4,1,4,5,2,11
16,3,3,2,1,0,5,4,2,1,1,5,0,13
19,3,2,2,2,2,3,2,2,1,1,3,4,9
16,3,2,1,2,0,1,2,2,1,2,1,14,12
17,4,1,2,1,0,4,5,4,2,4,5,30,8
17,4,4,1,1,0,5,2,3,1,2,5,4,16
16,3,4,3,1,2,3,4,5,2,4,2,0,0
18,4,3,2,1,0,4,2,3,1,2,1,8,10
17,1,2,2,2,0,4,4,4,4,5,5,12,8
16,3,1,1,4,0,4,3,3,1,2,5,4,6
16,2,1,1,2,0,5,3,4,1,1,2,8,10
18,1,1,2,2,1,4,4,3,2,3,5,2,12
16,3,3,3,2,0,5,3,3,1,3,2,6,10
17,3,3,2,2,0,4,5,4,2,3,3,2,13
16,3,1,1,2,3,2,3,3,2,2,4,5,7
15,4,4,1,2,0,5,4,2,3,4,5,0,12
16,4,2,1,1,0,4,3,3,3,4,3,10,9
16,3,3,2,1,2,4,3,2,1,1,5,0,0
17,3,2,1,1,3,5,5,5,2,4,5,16,5
16,2,1,1,2,0,4,3,5,1,1,5,2,10
15,4,4,1,1,0,5,5,3,1,1,4,6,19
18,2,1,4,2,0,4,3,2,4,5,3,14,9
15,2,2,2,2,0,4,1,3,1,3,4,2,8
18,1,2,3,1,0,4,3,3,2,3,3,3,12
18,4,3,1,4,0,4,3,3,1,1,3,0,14
16,2,2,2,2,0,5,4,4,2,4,5,0,12
15,4,3,1,3,0,5,4,3,1,1,4,2,18
18,1,1,4,3,0,4,3,2,1,2,4,2,10
15,3,2,1,2,0,4,4,4,1,1,5,10,6
17,0,2,2,3,0,3,3,3,2,3,2,0,15
15,3,1,2,4,0,4,4,2,2,3,3,12,16
16,2,2,2,2,1,4,3,3,2,2,5,14,9
16,2,2,1,2,0,3,3,4,1,1,4,0,14
